Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,27,"['Biden', 'tells', 'White', 'House', 'guest', ""'hush"", ',', ""boy'"", '“', 'want', 'come', 'make', 'speech', '?', '”', 'Biden', 'asked', 'out-of-turn', 'joker', '.']",20,"['to', 'up', 'You', 'to', 'and', 'a', 'the']",7,0.26,
Sentence 2,7,"['Submit', 'Δ', 'Thanks', 'contacting', 'us', '.']",6,['for'],1,0.14,
Sentence 3,6,"[""'ve"", 'received', 'submission', '.']",4,"['We', 'your']",2,0.33,
Sentence 4,32,"['President', 'Biden', 'made', 'happy', 'occasion', 'awkward', 'Monday', 'night', 'telling', 'White', 'House', 'guest', '“', 'hush', ',', 'boy', '”', 'event', 'marking', 'Islamic', 'holiday', 'Eid', 'al-Fitr', '.']",24,"['a', 'after', 'a', 'to', 'up', 'during', 'an', 'the']",8,0.25,
Sentence 5,38,"['lively', 'reception', 'commemorating', 'end', 'Ramadan', ',', 'Biden', 'teased', 'audience', 'promised', 'would', '“', 'quickest', 'speech', 'ever', 'made', 'life', '”', 'ahead', 'scheduled', '6', 'p.m.', 'prayers', '.']",24,"['During', 'the', 'the', 'of', 'the', 'with', 'what', 'he', 'be', 'the', 'I', 'in', 'my', 'of']",14,0.37,
Sentence 6,19,"['unidentified', 'audience', 'member', 'continued', 'talk', ',', 'president', '’', 'mood', 'turned', '.']",11,"['But', 'when', 'an', 'to', 'over', 'him', 'the', 's']",8,0.42,
Sentence 7,18,"['“', 'want', 'come', 'make', 'speech', '?', '”', '80-year-old', 'Biden', 'asked', 'guest', '.']",12,"['You', 'to', 'and', 'a', 'the', 'the']",6,0.33,
Sentence 8,39,"['“', '‘', 'Hush', ',', 'boy', ',', '’', 'mother', 'would', 'say.', '”', 'flashpoint', 'came', 'attendee', 'called', 'Biden', ',', '“', 'also', 'first', 'federal', 'judge', '—', 'Muslim', 'federal', 'judge', '.']",27,"['up', 'as', 'my', 'The', 'after', 'the', 'had', 'out', 'to', 'We', 'have', 'the']",12,0.31,
Sentence 9,17,"['one', '”', 'president', 'failed', 'recognize', 'jurist', 'earlier', 'remarks', '.']",9,"['The', 'only', 'after', 'the', 'to', 'the', 'in', 'his']",8,0.47,
Sentence 10,14,"['“', 'Hey', ',', 'Judge', ',', '?', '”', 'Biden', 'dutifully', 'replied', '.']",11,"['how', 'are', 'you']",3,0.21,
Sentence 11,14,"['“', '’', 'know', 'wanted', 'job', ',', 'man', '.']",8,"['I', 'don', 't', 'why', 'you', 'the']",6,0.43,
Sentence 12,17,"['appoint', 'federal', 'judges', ',', ',', 'know', ',', 'thank', 'serving', '.']",10,"['I', 'all', 'those', 'but', 'you', 'you', 'for']",7,0.41,
Sentence 13,29,"['’', 'kidding.', '”', 'audience', 'member', 'pointed', 'judge', 'kept', 'talking', ',', 'Biden', 'fired', 'back', '“', 'hush', '”', 'admonition', '.']",18,"['I', 'm', 'not', 'When', 'the', 'who', 'out', 'the', 'with', 'his', 'up']",11,0.38,
Sentence 14,69,"['rebuking', 'guest', ',', 'Biden', 'extolled', 'Ramadan', '“', 'time', 'slow', ',', 'reconnect', ',', 'remember', 'matters', 'most.', '”', 'president', '’', 'cheeky', 'comeback', 'drew', 'laughs', 'audience', ',', 'exchange', 'comes', 'months', 'Biden', 'sparked', 'controversy', 'referring', 'Maryland', '’', 'first', 'black', 'governor', ',', 'Wes', 'Moore', ',', '“', 'boy', '”', 'speech', '.']",45,"['After', 'the', 'as', 'a', 'to', 'down', 'and', 'what', 'The', 's', 'from', 'the', 'but', 'the', 'just', 'a', 'few', 'after', 'by', 'to', 's', 'as', 'in', 'a']",24,0.35,
Sentence 15,29,"['“', 'got', 'hell', 'new', 'governor', 'Wes', 'Moore', ',', 'tell', 'ya', ',', '”', 'Biden', 'said', 'referencing', 'Moore', '’', 'college', 'football-playing', 'days', '.']",21,"['You', 'a', 'of', 'a', 'in', 'I', 'before', 's']",8,0.28,
Sentence 16,18,"['“', '’', 'real', 'deal', ',', 'boy', 'looked', 'like', 'could', 'still', 'play', '.']",12,"['He', 's', 'the', 'and', 'the', 'he']",6,0.33,
Sentence 17,45,"['got', 'guns', 'him.', '”', 'president', 'frequently', 'used', 'word', '“', 'boy', '”', 'refer', 'younger', 'politicians', ',', 'though', 'took', 'flak', 'campaign', 'trail', 'using', 'term', 'describe', 'ability', 'work', 'segregationist', 'senators', '.']",28,"['He', 'some', 'on', 'The', 'has', 'the', 'to', 'to', 'he', 'on', 'the', 'for', 'the', 'to', 'his', 'to', 'with']",17,0.38,
Sentence 18,29,"['“', 'caucus', 'James', 'O.', 'Eastland', ',', '”', 'Biden', 'said', '2019', 'Manhattan', 'fundraiser', ',', 'referring', 'white', 'supremacist', 'senator', 'Mississippi', '.']",19,"['I', 'was', 'in', 'a', 'with', 'at', 'a', 'to', 'the', 'from']",10,0.34,
Sentence 19,55,"['“', 'never', 'called', '‘', 'boy', ',', '’', 'always', 'called', '‘', 'son.', '’', '”', 'Sen.', 'Cory', 'Booker', '(', 'D-NJ', ')', ',', 'competing', 'Biden', 'Democratic', 'presidential', 'nomination', ',', 'rebuked', 'statement', ',', 'saying', ':', '“', '’', 'joke', 'calling', 'black', 'men', '‘', 'boys', '.']",40,"['He', 'me', 'he', 'me', 'then', 'with', 'for', 'the', 'him', 'in', 'a', 'You', 'don', 't', 'about']",15,0.27,
Sentence 20,29,"[""'"", '”', 'Monday', 'night', '’', 'reception', 'also', 'marred', 'incident', 'involving', 'New', 'Jersey', 'mayor', 'barred', 'gathering', 'Secret', 'Service', '.']",18,"['s', 'was', 'by', 'an', 'a', 'who', 'was', 'from', 'the', 'by', 'the']",11,0.38,
Sentence 21,28,"['statement', ',', 'White', 'House', 'confirmed', 'Prospect', 'Park', 'Mayor', 'Mohamed', 'Khairullah', 'able', 'enter', 'premises', ',', 'declined', 'comment', '.']",17,"['In', 'a', 'the', 'that', 'was', 'not', 'to', 'the', 'but', 'to', 'further']",11,0.39,
