Sentence,Total words,Filtered words,Number of filtered words,Stop words,Number of stop words,Average number of stop words per sentence,Sentiment score
Sentence 1,50,"['Real', 'Enemy', 'Within', '-', 'Insider', 'NJ', 'two', 'years', 'Jan.', '6', 'American', 'people', 'still', '’', 'know', 'U.S.', 'Secret', 'Service', 'knew', 'knew', 'violent', 'insurrection', 'almost', 'upended', 'peaceful', 'transition', 'power', 'following', '2020', 'election', '.']",31,"['The', 'More', 'than', 'after', 'the', 'don', 't', 'what', 'the', 'and', 'when', 'it', 'it', 'about', 'the', 'that', 'the', 'of', 'the']",19,0.38,
Sentence 2,66,"['’', 'much', 'open', 'question', 'obstructed', 'Congress', '’', 'inquiry', 'Trump', 'junta', '’', 'machinations', 'stay', 'power', 'disappearance', 'trove', 'agency', 'text', 'messages', 'hours', 'simultaneously', 'protecting', 'Pence', 'Trump', '—', 'whose', 'tweets', 'incited', 'mob', 'attack', 'Capitol', 'Police', 'erect', 'gallows', 'Capitol', '.']",36,"['It', 's', 'very', 'an', 'if', 'it', 's', 'into', 'the', 's', 'to', 'in', 'after', 'the', 'of', 'a', 'of', 'from', 'those', 'when', 'they', 'were', 'and', 'the', 'to', 'the', 'and', 'to', 'at', 'the']",30,0.45,
Sentence 3,69,"[',', 'week', 'comes', 'confirmation', 'Prospect', 'Park', 'Mayor', 'Mohamed', 'Khairullah', 'inexplicably', 'turned', 'away', 'Secret', 'Service', 'gates', 'White', 'House', 'half-hour', 'attend', 'Biden', 'White', 'House', '’', 'celebration', 'Eid', 'al-Fitr', ',', 'marks', 'close', 'holy', 'month', 'Ramadan', 'world', '’', 'Muslims', 'fast', 'recommit', 'faith', '.']",39,"['Now', 'this', 'that', 'was', 'by', 'the', 'at', 'the', 'of', 'the', 'a', 'before', 'the', 'was', 'to', 'the', 's', 'of', 'which', 'the', 'of', 'the', 'of', 'when', 'the', 's', 'and', 'themselves', 'to', 'their']",30,0.43,
Sentence 4,26,"['asked', 'explain', 'last-minute', 'decision', 'embarrass', 'five', 'term', 'Mayor', 'New', 'Jersey', 'Secret', 'Service', '’', 'response', 'typically', 'opaque', '.']",17,"['When', 'to', 'its', 'to', 'the', 'from', 'the', 's', 'was']",9,0.35,
Sentence 5,34,"['“', 'regret', 'inconvenience', 'may', 'caused', ',', 'mayor', 'allowed', 'enter', 'White', 'House', 'complex', 'evening', ',', '”', 'agency', 'spokesperson', 'told', 'reporters', 'Monday', 'evening', '.']",22,"['While', 'we', 'any', 'this', 'have', 'the', 'was', 'not', 'to', 'the', 'this', 'an']",12,0.35,
Sentence 6,92,"['“', 'Unfortunately', ',', 'able', 'comment', 'specific', 'protective', 'means', 'methods', 'used', 'conduct', 'security', 'operations', 'White', 'House.', '”', '“', 'going', 'targeting', 'Arabs', ',', 'Muslims', ',', 'South', 'Asians', ',', 'federal', 'agencies', 'basically', 'telling', 'us', 'harassed', 'airports', ',', 'border', 'crossings', 'denied', 'entry', 'People', '’', 'House', 'baffling', ',', '”', 'rightfully', 'incensed', 'Khairullah', 'told', 'CNN', 'Tuesday', 'morning', '.']",52,"['we', 'are', 'not', 'to', 'further', 'on', 'the', 'and', 'to', 'our', 'at', 'the', 'What', 'are', 'we', 'to', 'do', 'about', 'the', 'of', 'by', 'that', 'are', 'not', 'why', 'we', 'are', 'being', 'at', 'and', 'now', 'for', 'me', 'to', 'be', 'into', 'the', 's', 'is', 'a']",40,0.43,
Sentence 7,50,"['Passaic', 'County', 'Mayor', ',', 'Democratic', 'primary', 'general', 'election', 'last', 'year', '2', 'one', 'margin', ',', 'invited', 'White', 'House', 'part', 'group', 'Muslim-American', 'elected', 'officials', 'attend', 'President', 'Joe', 'Biden', '’', 'East', 'Room', 'celebration', '.']",31,"['The', 'who', 'won', 'both', 'the', 'and', 'the', 'by', 'to', 'had', 'been', 'to', 'the', 'as', 'of', 'a', 'of', 'to', 's']",19,0.38,
Sentence 8,35,"['“', '’', 'hard', 'think', 'someone', 'committed', 'elevating', 'country', '’', 'highest', 'ideals', 'Prospect', 'Park', 'Mayor', 'Mohamed', 'Khairullah', ',', '”', 'said', 'Senator', 'Cory', 'Booker', 'statement', '.']",24,"['It', 's', 'to', 'of', 'more', 'to', 'our', 's', 'than', 'in', 'a']",11,0.31,
Sentence 9,42,"['“', 'Since', 'immigrating', 'United', 'States', 'thirty', 'years', 'ago', ',', 'Mayor', 'Khairullah', 'contributed', 'community', ',', 'become', 'U.S.', 'citizen', ',', 'successfully', 'run', 'elected', 'office', ',', 'serving', 'fifth', 'consecutive', 'term', 'mayor', '.']",29,"['to', 'the', 'over', 'has', 'to', 'his', 'a', 'for', 'and', 'is', 'now', 'his', 'as']",13,0.31,
Sentence 10,9,"['embodies', 'American', 'dream.', '”', 'Booker', 'continued', '.']",7,"['He', 'the']",2,0.22,
Sentence 11,50,"['“', '’', 'profoundly', 'disappointed', 'Mayor', 'Khairullah', '—', 'whose', 'effective', 'leadership', 'passion', 'public', 'service', 'made', 'beloved', 'New', 'Jersey', '—', 'would', 'rejected', 'entering', 'one', 'nation', '’', 'important', 'civic', 'spaces', ':', 'White', 'House', '.']",31,"['That', 's', 'why', 'I', 'was', 'so', 'that', 'and', 'for', 'has', 'him', 'in', 'be', 'from', 'of', 'our', 's', 'more', 'our']",19,0.38,
Sentence 12,36,"['“', '“', 'makes', 'matters', 'worse', 'painful', 'invitation', 'revoked', 'moments', 'set', 'attend', 'White', 'House', 'Eid', 'al-Fitr', 'celebration', 'yesterday', ',', '”', 'Booker', 'recounted', '.']",22,"['What', 'and', 'all', 'the', 'more', 'was', 'that', 'his', 'was', 'before', 'he', 'was', 'to', 'the']",14,0.39,
Sentence 13,61,"['“', 'travel', 'Washington', ',', 'away', 'community', 'diligently', 'serves', ',', 'denied', 'entry', 'way', 'adds', 'insult', 'injury.', '”', 'Khairullah', '’', 'campaign', 'website', 'includes', 'pictures', 'Rep.', 'Bill', 'Pascrell', '(', 'D-NJ', ')', 'Senator', 'Booker', '(', 'D-NJ', ')', 'well', 'regional', 'elected', 'leaders', 'law', 'enforcement', 'officials', '.']",41,"['To', 'to', 'from', 'the', 'he', 'so', 'only', 'to', 'be', 'in', 'this', 'to', 's', 'of', 'him', 'with', 'and', 'as', 'as', 'and']",20,0.33,
Sentence 14,59,"['headline', '“', 'Meet', 'American', 'Mayor', 'happens', 'Muslim', '”', ',', 'campaign', 'urges', 'voters', '“', 'act', 'locally', 'think', 'globally.', '”', '“', 'Fleeing', 'homeland', 'Syria', '1980', ',', 'Mayor', 'Khairullah', 'sought', 'shape', 'new', 'meaning', 'hope', 'civic', 'engagement', 'grassroots', 'activism', ',', '”', 'campaign', 'website', 'explains', '.']",41,"['Under', 'the', 'the', 'who', 'to', 'be', 'a', 'the', 'to', 'his', 'of', 'in', 'to', 'a', 'of', 'through', 'and', 'the']",18,0.31,
